parcel 202: rho 0.14064595472036914, p-value 0.3832
parcel 203: rho 0.11499107310618385, p-value 0.5593
parcel 204: rho 0.18690392874149156, p-value 0.13989999999999994
parcel 205: rho 0.17988679879469036, p-value 0.16810000000000003
parcel 206: rho 0.10268658783059362, p-value 0.6411
parcel 207: rho 0.21232262458687198, p-value 0.06769999999999995
parcel 208: rho 0.19750417535275966, p-value 0.10549999999999997
parcel 209: rho 0.1713056397308157, p-value 0.2064999999999999
parcel 210: rho 0.11226721306290675, p-value 0.5783
parcel 211: rho 0.175181322959854, p-value 0.1867
parcel 212: rho 0.20198776761567447, p-value 0.09319999999999994
parcel 213: rho 0.18566395325471438, p-value 0.14590000000000003
parcel 214: rho 0.15008553553761075, p-value 0.32549999999999996
parcel 215: rho 0.14065338452828852, p-value 0.38309999999999994
parcel 216: rho 0.16328904819961346, p-value 0.24760000000000004
parcel 217: rho 0.12687790902057597, p-value 0.4769
parcel 218: rho 0.16908319763472726, p-value 0.2156
parcel 219: rho 0.17266942628762663, p-value 0.20010000000000006
parcel 220: rho 0.18706411873282844, p-value 0.1389999999999999
parcel 221: rho 0.2394989749369102, p-value 0.026299999999999955
parcel 222: rho 0.17813474415019687, p-value 0.17480000000000004
parcel 223: rho 0.09667295938040926, p-value 0.6784
parcel 224: rho 0.19235520455130453, p-value 0.12129999999999995
parcel 225: rho 0.12619263025860297, p-value 0.482
parcel 226: rho 0.13200401384096114, p-value 0.4416
parcel 227: rho 0.12575611872925563, p-value 0.4849
parcel 228: rho 0.11891824550461229, p-value 0.5288
parcel 229: rho 0.14179888976441687, p-value 0.3753
parcel 230: rho 0.16990810869903145, p-value 0.21260000000000004
parcel 231: rho 0.11665116886495241, p-value 0.5462
parcel 232: rho 0.17269498917253676, p-value 0.2
parcel 233: rho 0.1101567190063026, p-value 0.5943
parcel 234: rho 0.03293623009408635, p-value 0.9464
parcel 235: rho 0.15899646899593403, p-value 0.2689999999999999
parcel 236: rho 0.21165217197726424, p-value 0.06929999999999993
parcel 237: rho 0.2116360767341275, p-value 0.06939999999999998
parcel 238: rho 0.21223798480456174, p-value 0.06769999999999995
parcel 239: rho 0.2598669742949726, p-value 0.011299999999999954
parcel 240: rho 0.24588511820083506, p-value 0.021599999999999966
parcel 241: rho 0.15213830716528404, p-value 0.3105
parcel 242: rho 0.15514500438282, p-value 0.2906
parcel 243: rho 0.19342037636451592, p-value 0.11819999999999993
parcel 244: rho 0.14417954796531082, p-value 0.36210000000000003
parcel 245: rho 0.1348074447525233, p-value 0.4224
parcel 246: rho 0.2041368945648021, p-value 0.08599999999999994
parcel 247: rho 0.1585644218606715, p-value 0.2719
parcel 248: rho 0.19553985673895988, p-value 0.11209999999999994
parcel 249: rho 0.10125916429051578, p-value 0.6515000000000001
parcel 250: rho 0.13923996728547575, p-value 0.3922
parcel 251: rho 0.15503315020150277, p-value 0.29120000000000007
parcel 252: rho 0.1818366129409538, p-value 0.16039999999999993
parcel 253: rho 0.16857219721562683, p-value 0.21810000000000002
parcel 254: rho 0.13776737825568738, p-value 0.4014
parcel 255: rho 0.12448673675675687, p-value 0.4932
parcel 256: rho 0.08417982320008814, p-value 0.7532
parcel 257: rho 0.19599111523142534, p-value 0.11099999999999995
parcel 258: rho 0.17860878668406266, p-value 0.17349999999999993
parcel 259: rho 0.17607112760669455, p-value 0.18379999999999996
parcel 260: rho 0.14710788919909024, p-value 0.34650000000000003
parcel 261: rho 0.15424915258835972, p-value 0.2969
parcel 262: rho 0.10450245399558045, p-value 0.6299
parcel 263: rho 0.1100165153037017, p-value 0.5948
parcel 264: rho 0.16787420863678412, p-value 0.2219
parcel 265: rho 0.07973870914952236, p-value 0.7745000000000001
parcel 266: rho 0.12959028834202796, p-value 0.45879999999999993
parcel 267: rho 0.10258953940267493, p-value 0.6422
parcel 268: rho 0.14327318417074228, p-value 0.3686
