parcel 158: rho -0.12241003826103099 , p-value 1.0 
parcel 159: rho -0.1630581008247254 , p-value 1.0 
parcel 160: rho -0.131668772745558 , p-value 1.0 
parcel 161: rho -0.06992268386370815 , p-value 1.0 
parcel 162: rho 0.014731703249643313 , p-value 0.9775 
parcel 163: rho -0.004675814530292211 , p-value 0.9893000000000001 
parcel 164: rho -0.07623253513353084 , p-value 1.0 
parcel 165: rho -0.07810475484107725 , p-value 1.0 
parcel 166: rho -0.062261622492149726 , p-value 0.9998999999999999 
parcel 167: rho 0.019734152809670554 , p-value 0.9734 
parcel 168: rho -0.08716575534741887 , p-value 1.0 
parcel 169: rho -0.09446297240938399 , p-value 1.0 
parcel 170: rho -0.10587491870855568 , p-value 1.0 
parcel 171: rho -0.050441140507892515 , p-value 0.9995999999999999 
parcel 172: rho -0.027965859335605317 , p-value 0.9965999999999999 
parcel 173: rho -0.10499056356387283 , p-value 1.0 
parcel 174: rho -0.050207638582781926 , p-value 0.9995999999999999 
parcel 175: rho -0.000871282067793926 , p-value 0.9876 
parcel 176: rho -0.04583922897332893 , p-value 0.9994 
parcel 177: rho -0.04026119532706256 , p-value 0.9986 
parcel 178: rho 0.023959111552839037 , p-value 0.9676 
parcel 179: rho -0.05384571693323801 , p-value 0.9995999999999999 
parcel 180: rho -0.052460335635450876 , p-value 0.9995999999999999 
parcel 181: rho -0.039339616034597284 , p-value 0.9984000000000001 
parcel 182: rho -0.08796162815971698 , p-value 1.0 
parcel 183: rho -0.08840126197998807 , p-value 1.0 
parcel 184: rho -0.04742191447002684 , p-value 0.9995 
parcel 185: rho -0.05317716104330676 , p-value 0.9995999999999999 
parcel 186: rho -0.08873519940670567 , p-value 1.0 
parcel 187: rho -0.024767916998972916 , p-value 0.9958 
parcel 188: rho -0.043845466767043983 , p-value 0.9990000000000001 
parcel 189: rho -0.058898851246635395 , p-value 0.9998999999999999 
parcel 190: rho -0.040920011977942164 , p-value 0.9987 
parcel 191: rho -0.058838572296696506 , p-value 0.9998999999999999 
parcel 192: rho -0.002011594623348759 , p-value 0.9883 
parcel 193: rho -0.10301500108725221 , p-value 1.0 
parcel 194: rho -0.07354469661991216 , p-value 1.0 
parcel 195: rho -0.19151423648339622 , p-value 1.0 
parcel 196: rho -0.08515401290053665 , p-value 1.0 
parcel 197: rho 0.05577804530485841 , p-value 0.9067000000000001 
parcel 198: rho 0.020437909740067265 , p-value 0.9723 
parcel 199: rho 0.001670401970544614 , p-value 0.986 
parcel 200: rho -0.05500020086672495 , p-value 0.9995999999999999 
parcel 201: rho -0.0022537715008554057 , p-value 0.9883 
parcel 202: rho -0.012514457745916955 , p-value 0.9923000000000001 
parcel 203: rho 0.006789546337298582 , p-value 0.982 
parcel 204: rho -0.06189757709120844 , p-value 0.9998999999999999 
parcel 205: rho 0.01687381246868238 , p-value 0.9758 
parcel 206: rho -0.10166772724168989 , p-value 1.0 
parcel 207: rho -0.03779979347961366 , p-value 0.9983 
parcel 208: rho -0.0576939219440532 , p-value 0.9995999999999999 
parcel 209: rho -0.04734975711834034 , p-value 0.9995 
parcel 210: rho -0.08008319313790103 , p-value 1.0 
parcel 211: rho -0.10849058660701598 , p-value 1.0 
parcel 212: rho -0.042166024670772434 , p-value 0.9990000000000001 
parcel 213: rho -0.05510241698943299 , p-value 0.9995999999999999 
parcel 214: rho -0.12357072800187305 , p-value 1.0 
parcel 215: rho -0.03961571745036359 , p-value 0.9984000000000001 
parcel 216: rho -0.06856508622365973 , p-value 1.0 
