parcel 133: rho 0.10273643742798674 , p-value 0.6419 
parcel 134: rho 0.0904645174716495 , p-value 0.7137 
parcel 135: rho 0.16266446639992632 , p-value 0.2514 
parcel 136: rho 0.228269040315392 , p-value 0.04 
parcel 137: rho 0.21745164252719035 , p-value 0.05719999999999999 
parcel 138: rho 0.16869956088114615 , p-value 0.22150000000000006 
parcel 139: rho 0.12221548593853511 , p-value 0.5122 
parcel 140: rho 0.10872988547114244 , p-value 0.6026 
parcel 141: rho 0.2156451453623823 , p-value 0.05900000000000006 
parcel 142: rho 0.2128510512644336 , p-value 0.06299999999999997 
parcel 143: rho 0.03976027697639528 , p-value 0.9320999999999999 
parcel 144: rho 0.11029526444681496 , p-value 0.5915 
parcel 145: rho 0.11283305515877919 , p-value 0.5736 
parcel 146: rho 0.1913727708831524 , p-value 0.12299999999999997 
parcel 147: rho 0.20439857039725506 , p-value 0.0822 
parcel 148: rho 0.1737047955527336 , p-value 0.19730000000000003 
parcel 149: rho 0.1471292996122782 , p-value 0.3459999999999999 
parcel 150: rho 0.14179617138222406 , p-value 0.3782 
parcel 151: rho 0.16499101355280948 , p-value 0.24019999999999997 
parcel 152: rho 0.15385267023160853 , p-value 0.3036 
parcel 153: rho 0.17454573709676777 , p-value 0.1925 
parcel 154: rho 0.22800446090830917 , p-value 0.040600000000000025 
parcel 155: rho 0.13487888956377356 , p-value 0.42229999999999995 
parcel 156: rho 0.08482676998695154 , p-value 0.7484999999999999 
parcel 157: rho 0.08055913237233106 , p-value 0.7743000000000001 
parcel 158: rho 0.07474170804140692 , p-value 0.8068000000000001 
parcel 159: rho 0.1293412988265439 , p-value 0.4573 
parcel 160: rho 0.1329755771855504 , p-value 0.4336 
parcel 161: rho 0.13497708537464864 , p-value 0.4216 
parcel 162: rho 0.19809695975315633 , p-value 0.10290000000000006 
parcel 163: rho 0.10173627667977689 , p-value 0.6481 
parcel 164: rho 0.10907520410172625 , p-value 0.5997 
parcel 165: rho 0.14073072752397175 , p-value 0.386 
parcel 166: rho 0.13572022430361455 , p-value 0.4157 
parcel 167: rho 0.08916324162157535 , p-value 0.7223999999999999 
parcel 168: rho 0.15544987526205112 , p-value 0.295 
parcel 169: rho 0.17486434224947914 , p-value 0.19129999999999994 
parcel 170: rho 0.11417032647482869 , p-value 0.5661 
parcel 171: rho 0.05650345049742411 , p-value 0.8835999999999999 
parcel 172: rho 0.0633009156634621 , p-value 0.8582 
parcel 173: rho 0.10018197938528546 , p-value 0.657 
parcel 174: rho 0.11025060285815956 , p-value 0.5922 
parcel 175: rho 0.14956042802551547 , p-value 0.33030000000000004 
parcel 176: rho 0.14014720729803987 , p-value 0.3896 
parcel 177: rho 0.17334189690956903 , p-value 0.19879999999999995 
parcel 178: rho 0.1417012207260161 , p-value 0.3788 
parcel 179: rho 0.18566598974362294 , p-value 0.14629999999999996 
parcel 180: rho 0.12411130467624087 , p-value 0.49810000000000004 
parcel 181: rho 0.07546504622087992 , p-value 0.8035 
parcel 182: rho 0.16267414983510345 , p-value 0.25129999999999997 
parcel 183: rho 0.15185175980098556 , p-value 0.3161 
parcel 184: rho 0.15665964478700894 , p-value 0.288 
parcel 185: rho 0.132894375661879 , p-value 0.4347 
parcel 186: rho 0.15747889432232523 , p-value 0.2826000000000001 
parcel 187: rho 0.09331105009228148 , p-value 0.6966 
parcel 188: rho 0.168127170239586 , p-value 0.22400000000000006 
parcel 189: rho 0.15368535263778318 , p-value 0.30469999999999997 
parcel 190: rho 0.16325183756106607 , p-value 0.2486 
parcel 191: rho 0.12035332033830093 , p-value 0.5251 
parcel 192: rho 0.09744865827759512 , p-value 0.6728000000000001 
parcel 193: rho 0.16056275504998127 , p-value 0.26519999999999994 
parcel 194: rho 0.19871621782216248 , p-value 0.1 
parcel 195: rho 0.045266482987054275 , p-value 0.9194 
parcel 196: rho 0.1481456082051882 , p-value 0.33909999999999996 
parcel 197: rho 0.109328680855657 , p-value 0.5972999999999999 
parcel 198: rho 0.16385256752395885 , p-value 0.24590000000000004 
parcel 199: rho 0.17595965523694101 , p-value 0.18510000000000004 
parcel 200: rho 0.040431827681094865 , p-value 0.9309000000000001 
parcel 201: rho 0.13245727039229266 , p-value 0.4374 
parcel 202: rho 0.11562684556425097 , p-value 0.556 
parcel 203: rho 0.17666229121596896 , p-value 0.18129999999999996 
parcel 204: rho 0.16233285197831268 , p-value 0.25239999999999996 
parcel 205: rho 0.11858848622869256 , p-value 0.5364 
parcel 206: rho 0.22937754581865072 , p-value 0.03870000000000005 
parcel 207: rho 0.18483934168656507 , p-value 0.14920000000000003 
parcel 208: rho 0.16215345819639512 , p-value 0.25329999999999997 
parcel 209: rho 0.11223151244605768 , p-value 0.5772999999999999 
parcel 210: rho 0.1720332360606636 , p-value 0.20510000000000006 
parcel 211: rho 0.18942620031931987 , p-value 0.13040000000000007 
parcel 212: rho 0.16853180218832325 , p-value 0.22219999999999998 
parcel 213: rho 0.14186534141216778 , p-value 0.37729999999999997 
parcel 214: rho 0.14259979737211628 , p-value 0.3732 
parcel 215: rho 0.1580856606602501 , p-value 0.2794 
parcel 216: rho 0.12796901474753383 , p-value 0.46759999999999996 
parcel 217: rho 0.1703491160769514 , p-value 0.21379999999999996 
parcel 218: rho 0.17306182574813694 , p-value 0.2 
parcel 219: rho 0.18418606066287116 , p-value 0.1522 
parcel 220: rho 0.2378796331902149 , p-value 0.02829999999999998 
parcel 221: rho 0.1758037395193082 , p-value 0.1858 
parcel 222: rho 0.09725342034345427 , p-value 0.6737000000000001 
parcel 223: rho 0.19197113513895073 , p-value 0.12040000000000006 
parcel 224: rho 0.12352770377125095 , p-value 0.5023 
parcel 225: rho 0.14646558348587657 , p-value 0.3501000000000001 
parcel 226: rho 0.1330226947868368 , p-value 0.43320000000000003 
parcel 227: rho 0.11897381525439706 , p-value 0.5337 
parcel 228: rho 0.14514055154965022 , p-value 0.3567 
parcel 229: rho 0.16362777870740403 , p-value 0.24730000000000005 
parcel 230: rho 0.12990697820816768 , p-value 0.4543 
parcel 231: rho 0.18161554347659312 , p-value 0.16200000000000003 
parcel 232: rho 0.13247437870742634 , p-value 0.43729999999999997 
parcel 233: rho 0.055840280329875334 , p-value 0.8863 
parcel 234: rho 0.1374778292716628 , p-value 0.4043 
parcel 235: rho 0.18964429919171222 , p-value 0.12959999999999994 
parcel 236: rho 0.18972663641064624 , p-value 0.12930000000000008 
parcel 237: rho 0.19519618777075362 , p-value 0.11079999999999998 
parcel 238: rho 0.23642352792476773 , p-value 0.03 
parcel 239: rho 0.22056189046385777 , p-value 0.05060000000000002 
parcel 240: rho 0.13974262348169517 , p-value 0.3914 
parcel 241: rho 0.12694090168534775 , p-value 0.4756 
parcel 242: rho 0.19749969979196455 , p-value 0.10379999999999995 
parcel 243: rho 0.1396455579798388 , p-value 0.392 
parcel 244: rho 0.12887702075853893 , p-value 0.46049999999999996 
parcel 245: rho 0.19554243478350922 , p-value 0.10939999999999998 
parcel 246: rho 0.13210886441252875 , p-value 0.4397 
parcel 247: rho 0.1852103610665616 , p-value 0.14780000000000001 
parcel 248: rho 0.09735027921982548 , p-value 0.6733 
parcel 249: rho 0.1484917259480895 , p-value 0.33659999999999995 
parcel 250: rho 0.13209621659497442 , p-value 0.43979999999999997 
parcel 251: rho 0.17690311086966967 , p-value 0.18030000000000002 
parcel 252: rho 0.16544451970595977 , p-value 0.2372 
parcel 253: rho 0.11914843315696301 , p-value 0.5326 
parcel 254: rho 0.12106906528904432 , p-value 0.52 
parcel 255: rho 0.08174608106936451 , p-value 0.7671000000000001 
parcel 256: rho 0.1797443792963674 , p-value 0.16769999999999996 
parcel 257: rho 0.16779751148292257 , p-value 0.22540000000000007 
parcel 258: rho 0.16404121452914472 , p-value 0.245 
parcel 259: rho 0.14928882678996327 , p-value 0.33159999999999995 
parcel 260: rho 0.1599371924397559 , p-value 0.26909999999999995 
parcel 261: rho 0.1120774932592928 , p-value 0.5784 
parcel 262: rho 0.10019649622948337 , p-value 0.6568999999999999 
parcel 263: rho 0.16528509250108758 , p-value 0.23819999999999994 
parcel 264: rho 0.07506017911102474 , p-value 0.8053 
parcel 265: rho 0.1391258814762098 , p-value 0.3951 
parcel 266: rho 0.11047622379210106 , p-value 0.5899 
parcel 267: rho 0.1532890046176088 , p-value 0.30670000000000003 
