parcel 153: rho 0.2572919379639155 , p-value 0.040999999999999946 
parcel 154: rho 0.21786718600214292 , p-value 0.12409999999999996 
parcel 155: rho 0.08830119021888183 , p-value 0.794 
parcel 156: rho 0.17881150359229173 , p-value 0.28900000000000003 
parcel 157: rho 0.21517265568631722 , p-value 0.13219999999999998 
parcel 158: rho 0.19185156196741543 , p-value 0.22040000000000007 
parcel 159: rho 0.16292292616064002 , p-value 0.3737 
parcel 160: rho 0.15456755555119853 , p-value 0.4207 
parcel 161: rho 0.12283029261907938 , p-value 0.6083 
parcel 162: rho 0.17202422662273914 , p-value 0.3225 
parcel 163: rho 0.013762292063172376 , p-value 0.9779000000000001 
parcel 164: rho 0.1042785719326841 , p-value 0.7169 
parcel 165: rho 0.25051322393462133 , p-value 0.05150000000000006 
parcel 166: rho 0.3010012335241343 , p-value 0.009399999999999978 
parcel 167: rho 0.21809613878224596 , p-value 0.12310000000000003 
parcel 168: rho 0.14580053013647812 , p-value 0.4727 
parcel 169: rho 0.13831220729600538 , p-value 0.5127 
parcel 170: rho 0.18524397077414295 , p-value 0.25650000000000006 
parcel 171: rho 0.21877570747669808 , p-value 0.12129999999999995 
parcel 172: rho 0.22719431110417262 , p-value 0.09689999999999997 
parcel 173: rho 0.20457878791280373 , p-value 0.16909999999999997 
parcel 174: rho 0.13053555734846137 , p-value 0.56 
parcel 175: rho 0.08022112767075172 , p-value 0.8279 
parcel 176: rho 0.07751787748361126 , p-value 0.8371999999999999 
parcel 177: rho 0.1802860952160248 , p-value 0.28010000000000007 
parcel 178: rho 0.14008052825095432 , p-value 0.5025 
parcel 179: rho 0.12506035318089148 , p-value 0.595 
parcel 180: rho 0.23925898291088707 , p-value 0.07180000000000007 
parcel 181: rho 0.1462771096425856 , p-value 0.4693 
parcel 182: rho 0.10561101177970893 , p-value 0.71 
parcel 183: rho 0.09776918728803005 , p-value 0.7496 
parcel 184: rho 0.10032260570784779 , p-value 0.7378 
parcel 185: rho 0.12068695374532673 , p-value 0.6206 
parcel 186: rho 0.10672009001123493 , p-value 0.7034999999999999 
parcel 187: rho 0.10327132637694737 , p-value 0.7219 
parcel 188: rho 0.13749784218912267 , p-value 0.519 
parcel 189: rho 0.14093674012876867 , p-value 0.4989 
parcel 190: rho 0.15501257265267898 , p-value 0.4178 
parcel 191: rho 0.11712343271808527 , p-value 0.6437 
parcel 192: rho 0.18932697750468866 , p-value 0.2347 
parcel 193: rho 0.14441124470533753 , p-value 0.47950000000000004 
parcel 194: rho 0.2153783724723908 , p-value 0.13159999999999997 
parcel 195: rho 0.1096001320979914 , p-value 0.6884999999999999 
parcel 196: rho 0.13713301969014033 , p-value 0.5207 
parcel 197: rho 0.1436514148401594 , p-value 0.48469999999999996 
parcel 198: rho 0.25193545384010746 , p-value 0.04840000000000003 
parcel 199: rho 0.14827392391523064 , p-value 0.45890000000000003 
parcel 200: rho 0.12280062245173858 , p-value 0.6085 
parcel 201: rho 0.17334350635601475 , p-value 0.3148 
parcel 202: rho 0.09092379228976742 , p-value 0.7827 
parcel 203: rho 0.16719451104963498 , p-value 0.3484999999999999 
parcel 204: rho 0.14151198706224677 , p-value 0.496 
parcel 205: rho 0.04245970128914167 , p-value 0.9415 
parcel 206: rho 0.23439805222101706 , p-value 0.08019999999999997 
parcel 207: rho 0.15883761050402842 , p-value 0.3957 
parcel 208: rho 0.064541172799138 , p-value 0.8809999999999999 
parcel 209: rho 0.13238267440658472 , p-value 0.5488000000000001 
parcel 210: rho 0.1017373717570083 , p-value 0.7308 
parcel 211: rho 0.12721867132226344 , p-value 0.5808 
parcel 212: rho 0.18908641125987577 , p-value 0.23599999999999993 
parcel 213: rho 0.13547959068094637 , p-value 0.5295000000000001 
parcel 214: rho 0.17222120285885692 , p-value 0.3209 
parcel 215: rho 0.1338799754271743 , p-value 0.5395 
parcel 216: rho 0.125696179184628 , p-value 0.5916 
parcel 217: rho 0.10777511342537333 , p-value 0.698 
parcel 218: rho 0.10680507271056677 , p-value 0.7031000000000001 
parcel 219: rho 0.08898563085780797 , p-value 0.7915000000000001 
parcel 220: rho 0.09471961632022338 , p-value 0.7653 
parcel 221: rho 0.1556224220342806 , p-value 0.41409999999999997 
parcel 222: rho 0.10085249191776907 , p-value 0.7349 
parcel 223: rho 0.15562477260089752 , p-value 0.414 
parcel 224: rho 0.17375825899167732 , p-value 0.3127 
parcel 225: rho 0.2097196408336192 , p-value 0.15019999999999997 
parcel 226: rho 0.10473296778930084 , p-value 0.7145 
parcel 227: rho 0.10342570971144308 , p-value 0.721 
parcel 228: rho 0.13318230499031147 , p-value 0.544 
parcel 229: rho 0.2011909424218332 , p-value 0.1825 
parcel 230: rho 0.15155808953290537 , p-value 0.44079999999999997 
parcel 231: rho 0.29412903957367054 , p-value 0.011800000000000067 
parcel 232: rho 0.06796114666630715 , p-value 0.8703 
parcel 233: rho 0.12140129938164014 , p-value 0.6168 
parcel 234: rho 0.14341449681750368 , p-value 0.48590000000000005 
parcel 235: rho 0.1275718052902364 , p-value 0.5787 
parcel 236: rho 0.13622853479961647 , p-value 0.5259 
parcel 237: rho 0.14770261442161464 , p-value 0.4623 
parcel 238: rho 0.15172043612707042 , p-value 0.43979999999999997 
parcel 239: rho 0.1429848419634047 , p-value 0.4877 
parcel 240: rho 0.14995878870778417 , p-value 0.4506 
parcel 241: rho 0.06657293029257949 , p-value 0.8743000000000001 
parcel 242: rho 0.1039134576665753 , p-value 0.7184999999999999 
parcel 243: rho 0.17254451907631152 , p-value 0.31900000000000006 
parcel 244: rho 0.18915953348388198 , p-value 0.23579999999999998 
parcel 245: rho 0.2263578164521886 , p-value 0.0989 
parcel 246: rho 0.15109399709327284 , p-value 0.4437 
parcel 247: rho 0.23557254265941494 , p-value 0.07810000000000002 
parcel 248: rho 0.16930171753909903 , p-value 0.3373999999999999 
parcel 249: rho 0.20302905633958696 , p-value 0.1753 
parcel 250: rho 0.1849289741688287 , p-value 0.25730000000000003 
parcel 251: rho 0.18223622306593643 , p-value 0.2708 
parcel 252: rho 0.10215665698081718 , p-value 0.7284 
parcel 253: rho 0.10653924226529188 , p-value 0.7042 
parcel 254: rho 0.15478545064047727 , p-value 0.4192 
parcel 255: rho 0.13665123143265265 , p-value 0.5227 
parcel 256: rho 0.2071960905862116 , p-value 0.1586 
parcel 257: rho 0.10728424837756179 , p-value 0.7006999999999999 
parcel 258: rho 0.0725044531471103 , p-value 0.8542000000000001 
parcel 259: rho 0.0930753383178456 , p-value 0.7734000000000001 
parcel 260: rho 0.06922842811553322 , p-value 0.8656 
parcel 261: rho 0.07821585158490085 , p-value 0.8341 
parcel 262: rho 0.11828003783163035 , p-value 0.6349 
parcel 263: rho 0.18386153648836248 , p-value 0.26269999999999993 
parcel 264: rho 0.22281035224805104 , p-value 0.10969999999999999 
parcel 265: rho 0.10649757593674813 , p-value 0.7045 
parcel 266: rho 0.17942445646965802 , p-value 0.28519999999999995 
parcel 267: rho 0.2758972916800757 , p-value 0.023400000000000035 
