parcel 216: rho 0.11193170488199541 , p-value 0.6892 
parcel 217: rho 0.032769073016407475 , p-value 0.9569 
parcel 218: rho 0.04723476073763028 , p-value 0.9294 
parcel 219: rho 0.0009834071035698562 , p-value 0.9854 
parcel 220: rho 0.014546478314502388 , p-value 0.9772 
parcel 221: rho 0.04869836831790558 , p-value 0.9264 
parcel 222: rho 0.01973329314625629 , p-value 0.9725 
parcel 223: rho 0.08479696410124303 , p-value 0.8153 
parcel 224: rho -0.11038869801900249 , p-value 1.0 
parcel 225: rho -0.026814695787067182 , p-value 0.9971 
parcel 226: rho -0.001094330645054168 , p-value 0.9861 
parcel 227: rho 0.01376599367296322 , p-value 0.9777 
parcel 228: rho 0.06115712345613518 , p-value 0.8965000000000001 
parcel 229: rho 0.08815595981514955 , p-value 0.8009000000000001 
parcel 230: rho -0.042691450657287494 , p-value 0.9989 
parcel 231: rho 0.05499085636923391 , p-value 0.9128999999999999 
parcel 232: rho 0.02122996074636352 , p-value 0.9712000000000001 
parcel 233: rho -0.05638249297660217 , p-value 0.9993000000000001 
parcel 234: rho -0.11069794556685249 , p-value 1.0 
parcel 235: rho 0.03247387006999223 , p-value 0.9573999999999999 
parcel 236: rho 0.040653995682946927 , p-value 0.9427 
parcel 237: rho -0.02952853485487842 , p-value 0.9976 
parcel 238: rho -0.004152001462643676 , p-value 0.9889 
parcel 239: rho -0.040973783531807605 , p-value 0.9986 
parcel 240: rho -0.03761569636570953 , p-value 0.9984999999999999 
parcel 241: rho 0.017203127937694695 , p-value 0.9748 
parcel 242: rho -0.017854536080571706 , p-value 0.9947 
parcel 243: rho -0.007892651800255328 , p-value 0.9904999999999999 
parcel 244: rho 0.05538128406814939 , p-value 0.9118 
parcel 245: rho 0.04897234667036924 , p-value 0.9258 
parcel 246: rho 0.034448239153097804 , p-value 0.9551000000000001 
parcel 247: rho 0.036067488482094984 , p-value 0.9523 
parcel 248: rho -0.04517848821915343 , p-value 0.9990000000000001 
parcel 249: rho 0.046284651997222793 , p-value 0.9320999999999999 
parcel 250: rho -0.007023839115245717 , p-value 0.9899 
