parcel 178: rho 0.02902076238538868 , p-value 0.9592 
parcel 179: rho -0.02084247888855087 , p-value 0.9945999999999999 
parcel 180: rho -0.059074595856315824 , p-value 0.9992 
parcel 181: rho -0.019740287151024948 , p-value 0.9940000000000001 
parcel 182: rho 0.03894254846050313 , p-value 0.9473999999999999 
parcel 183: rho 0.10389074329940842 , p-value 0.7302 
parcel 184: rho 0.11139679998199177 , p-value 0.6917 
parcel 185: rho 0.08312791861174322 , p-value 0.8233 
parcel 186: rho 0.07652797742676408 , p-value 0.8464 
parcel 187: rho 0.05284128791274521 , p-value 0.919 
parcel 188: rho 0.05314590897369423 , p-value 0.9184 
parcel 189: rho 0.011273400587253084 , p-value 0.9786 
parcel 190: rho 0.051798531391686276 , p-value 0.9217 
parcel 191: rho 0.03517098409807761 , p-value 0.9527 
parcel 192: rho 0.0283415278591979 , p-value 0.9597 
parcel 193: rho 0.09069788425805354 , p-value 0.7928000000000001 
parcel 194: rho 0.20375036092898632 , p-value 0.19730000000000003 
parcel 195: rho 0.07765960551207111 , p-value 0.843 
parcel 196: rho 0.1495219502678107 , p-value 0.4778 
parcel 197: rho 0.1637431997800872 , p-value 0.40049999999999997 
parcel 198: rho -0.0033014490950956923 , p-value 0.9879000000000001 
parcel 199: rho 0.06161532800465384 , p-value 0.8976000000000001 
parcel 200: rho 0.060922056875822715 , p-value 0.8996999999999999 
parcel 201: rho -0.0005545953392287332 , p-value 0.9864 
parcel 202: rho 0.057027862635276226 , p-value 0.9078 
parcel 203: rho 0.07450695469484912 , p-value 0.8543000000000001 
parcel 204: rho 0.09583161721850274 , p-value 0.7689 
parcel 205: rho 0.02283055858218448 , p-value 0.9675 
parcel 206: rho -0.05086170828542382 , p-value 0.9986 
parcel 207: rho 0.010738652855264636 , p-value 0.9791 
parcel 208: rho 0.03418746501802399 , p-value 0.9541 
parcel 209: rho -0.012762849728242095 , p-value 0.9921 
parcel 210: rho 0.0030379772031163 , p-value 0.9847 
parcel 211: rho 0.07621698134282176 , p-value 0.8476 
parcel 212: rho 0.06301130251529587 , p-value 0.8933 
parcel 213: rho 0.04645259081601899 , p-value 0.9338 
parcel 214: rho 0.1626146318127804 , p-value 0.4057 
parcel 215: rho 0.14618034687100812 , p-value 0.49829999999999997 
parcel 216: rho 0.05451644329190798 , p-value 0.9147 
parcel 217: rho 0.10631809651951846 , p-value 0.7175 
parcel 218: rho 0.1190442541397491 , p-value 0.6496999999999999 
parcel 219: rho 0.10315691322605192 , p-value 0.7339 
parcel 220: rho 0.044526328629323944 , p-value 0.9373 
parcel 221: rho 0.148105770571038 , p-value 0.4876 
parcel 222: rho 0.14049513741227715 , p-value 0.5354 
parcel 223: rho 0.11518085799895904 , p-value 0.6703 
parcel 224: rho 0.10211283399468535 , p-value 0.7389 
parcel 225: rho 0.07615679192690637 , p-value 0.8477 
parcel 226: rho 0.06306726901329557 , p-value 0.893 
parcel 227: rho 0.11620719979848147 , p-value 0.6655 
parcel 228: rho 0.0999140720919227 , p-value 0.7505 
parcel 229: rho 0.08054060002021043 , p-value 0.8331000000000001 
parcel 230: rho 0.030273715715335985 , p-value 0.958 
parcel 231: rho 0.015231675040046865 , p-value 0.9739 
parcel 232: rho 0.13856342693411924 , p-value 0.5458 
parcel 233: rho 0.10740091460495312 , p-value 0.7127 
parcel 234: rho 0.10385833828739649 , p-value 0.7303999999999999 
parcel 235: rho 0.08209810349432414 , p-value 0.8270000000000001 
parcel 236: rho 0.05863079050141357 , p-value 0.9044 
parcel 237: rho 0.01710783296884574 , p-value 0.9726 
parcel 238: rho 0.01828718280765042 , p-value 0.9722 
parcel 239: rho 0.026199856640536624 , p-value 0.9627 
parcel 240: rho 0.037104230678671864 , p-value 0.9501999999999999 
parcel 241: rho 0.11604567864334334 , p-value 0.6661 
parcel 242: rho 0.06502346257472498 , p-value 0.8871000000000001 
