parcel 226: rho -0.05576762492596793 , p-value 0.9995 
parcel 227: rho -0.007598818229082497 , p-value 0.9923000000000001 
parcel 228: rho -0.008231039640906346 , p-value 0.993 
parcel 229: rho 0.0886734286914563 , p-value 0.748 
parcel 230: rho 0.0357749535456773 , p-value 0.9415 
parcel 231: rho 0.10824214194734276 , p-value 0.6313 
parcel 232: rho -0.10802739625282304 , p-value 1.0 
parcel 233: rho 0.025792415749915795 , p-value 0.9568000000000001 
parcel 234: rho -0.011681710109930134 , p-value 0.9944 
parcel 235: rho 0.05945718093800493 , p-value 0.8774 
parcel 236: rho 5.6546845821511914e-05 , p-value 0.9881 
parcel 237: rho 0.055187605858173824 , p-value 0.8896000000000001 
parcel 238: rho 0.07901899472444998 , p-value 0.7994 
parcel 239: rho 0.0019746483805599506 , p-value 0.9865 
parcel 240: rho 0.05886241206851178 , p-value 0.8791 
parcel 241: rho -0.01368353697115178 , p-value 0.9948999999999999 
parcel 242: rho -0.015481012255476627 , p-value 0.9953 
parcel 243: rho 0.06244129787255271 , p-value 0.8681 
parcel 244: rho 0.04776071291614756 , p-value 0.9128999999999999 
parcel 245: rho 0.02341457351815967 , p-value 0.9609000000000001 
parcel 246: rho 0.04608888313043845 , p-value 0.9167000000000001 
parcel 247: rho 0.07137894335786987 , p-value 0.8325 
parcel 248: rho -0.02084103504335499 , p-value 0.996 
parcel 249: rho 0.06345602935023562 , p-value 0.8637 
parcel 250: rho -0.04745627141547961 , p-value 0.9992 
parcel 251: rho 0.07074420286001205 , p-value 0.8351999999999999 
parcel 252: rho 0.04357045242747753 , p-value 0.924 
parcel 253: rho -0.019294981994499867 , p-value 0.9959 
parcel 254: rho 0.05137921300698307 , p-value 0.9021000000000001 
parcel 255: rho 0.03706422202363096 , p-value 0.9378 
parcel 256: rho 0.03425525124267778 , p-value 0.9445 
parcel 257: rho -0.09501535619393871 , p-value 1.0 
parcel 258: rho -0.06718259098187622 , p-value 0.9998 
parcel 259: rho -0.05486193300888254 , p-value 0.9995 
parcel 260: rho -0.016854899782485444 , p-value 0.9954999999999999 
parcel 261: rho -0.0024065091850582884 , p-value 0.9901000000000001 
parcel 262: rho 0.05651292393186063 , p-value 0.8851 
parcel 263: rho 0.08203381538552007 , p-value 0.7833 
parcel 264: rho 0.12310211593551722 , p-value 0.5359 
parcel 265: rho -0.008617602117459473 , p-value 0.9931 
parcel 266: rho 0.03555556671162502 , p-value 0.9420000000000001 
parcel 267: rho 0.1282620020075215 , p-value 0.5023 
