parcel 200: rho -0.07465864318329728 , p-value 0.9998999999999999 
parcel 201: rho -0.0747983485977919 , p-value 0.9998999999999999 
parcel 202: rho -0.050236115398363874 , p-value 0.9995999999999999 
parcel 203: rho -0.11631087702744722 , p-value 1.0 
parcel 204: rho -0.05020300948057541 , p-value 0.9995999999999999 
parcel 205: rho -0.2064062550069864 , p-value 1.0 
parcel 206: rho -0.0020452461952266466 , p-value 0.9895999999999999 
parcel 207: rho 0.011217541202170075 , p-value 0.9795 
parcel 208: rho -0.08404704300493329 , p-value 0.9998999999999999 
parcel 209: rho -0.0657139545699757 , p-value 0.9997 
parcel 210: rho 0.004271046620235212 , p-value 0.9849 
parcel 211: rho 0.05884593779077623 , p-value 0.8831 
parcel 212: rho 0.03255613470614586 , p-value 0.9520000000000001 
parcel 213: rho -0.0364581305636934 , p-value 0.9981 
parcel 214: rho 0.04837753189189852 , p-value 0.9172 
parcel 215: rho 0.019056465115536454 , p-value 0.9717 
parcel 216: rho -0.03328209655459191 , p-value 0.9975 
parcel 217: rho -0.12105667979058989 , p-value 1.0 
parcel 218: rho -0.040855170138276956 , p-value 0.9989 
parcel 219: rho -0.11405432825506263 , p-value 1.0 
parcel 220: rho -0.03860456411192129 , p-value 0.9984999999999999 
parcel 221: rho 3.7275099764181296e-05 , p-value 0.988 
parcel 222: rho -0.05819694467996782 , p-value 0.9997 
parcel 223: rho -0.054629987173932235 , p-value 0.9995999999999999 
parcel 224: rho -0.0672854661750198 , p-value 0.9997 
parcel 225: rho -0.12291362679571897 , p-value 1.0 
parcel 226: rho -0.09150699240234084 , p-value 0.9998999999999999 
parcel 227: rho -0.027286352636163788 , p-value 0.9968 
parcel 228: rho -0.06739603292685611 , p-value 0.9997 
parcel 229: rho -0.0011763907343045443 , p-value 0.9887999999999999 
parcel 230: rho -0.09932049507814315 , p-value 1.0 
parcel 231: rho -0.021977619771561877 , p-value 0.9956999999999999 
parcel 232: rho -0.01881427758668925 , p-value 0.9951000000000001 
parcel 233: rho -0.07938173502096287 , p-value 0.9998999999999999 
parcel 234: rho -0.004681021147220945 , p-value 0.9911 
parcel 235: rho 0.01423794072536693 , p-value 0.9765 
parcel 236: rho -0.003977468823795767 , p-value 0.9908 
parcel 237: rho -0.039029387940317725 , p-value 0.9986 
parcel 238: rho 0.01183848848482596 , p-value 0.9790000000000001 
parcel 239: rho -0.027958431875906877 , p-value 0.9969 
parcel 240: rho -0.05705249024632024 , p-value 0.9997 
parcel 241: rho -0.06842629601032961 , p-value 0.9998999999999999 
parcel 242: rho -0.03284670124844584 , p-value 0.9974 
parcel 243: rho -0.034850060343923954 , p-value 0.9979 
parcel 244: rho -0.05192937284714553 , p-value 0.9995999999999999 
